,S1D0,S1D1,S1D3,S1D7,S1D14,S1D28,S2D0,S2D1,S2D2,S2D3,S2D14,S2D28,S3D0,S3D1,S3D2,S3D3,S3D7,S3D14,S3D28,S4D0,S4D1,S4D2,S4D3,S4D7,S4D14,S4D28,S5D0,S5D1,S5D2,S5D3,S5D7,S5D14,S5D28,S6D0,S6D1,S6D2,S6D3,S6D7,S6D14,S6D28,S7D0,S7D1,S7D2,S7D3,S7D7,S7D14,S7D28,S8D0,S8D1,S8D2,S8D3,S8D7,S8D14,S9D0,S9D1,S9D2,S9D3,S9D7,S9D14,S9D28,S10D0,S10D1,S10D2,S10D3,S10D28,S11D0,S11D1,S11D2,S11D3,S11D7,S11D14,S11D28,S12D0,S12D3,S12D7,S13D0,S13D1,S13D2,S13D3,S13D7,S13D14,S13D28,S14D0,S14D1,S14D2,S14D3,S14D7,S14D14,S14D28,S15D0,S15D2,S15D3,S15D7,S15D14,S15D28,S16D0,S16D1,S16D2,S16D3,S16D7,S16D14,S16D28,S17D0,S17D1,S17D2,S17D3,S17D7,S17D14,S17D28,S19D0,S19D1,S19D2,S19D3,S19D7,S19D14,S19D28,S20D0,S20D1,S20D2,S20D3,S20D7,S20D14,S20D28,S21D0,S21D1,S21D2,S21D3,S21D7,S21D14,S21D28,S22D0,S22D1,S22D2,S22D3,S22D7,S22D14,S22D28,S23D0,S23D1,S23D2,S23D3,S23D7,S23D14,S23D28,S24D0,S24D1,S24D2,S24D3,S24D7,S24D14,S24D28,S25D0,S25D1,S25D2,S25D3,S25D7,S25D14,S25D28,S26D0,S26D1,S26D2,S26D3,S26D7,S26D14,S26D28,S27D0,S27D1,S27D2,S27D3,S27D7,S27D14,S27D28,S29D0,S29D1,S29D2,S29D3,S29D7,S29D14,S29D28,S30D0,S30D1,S30D2,S30D3,S30D7,S30D14,S30D28,S31D0,S31D1,S31D2,S31D3,S31D7,S31D14,S31D28,S33D0,S33D1,S33D3,S33D7
Unassigned;__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.141081161374361e-05,0.0,0.0,0.00012168766184459026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea;p__Aenigmarchaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.457067542457111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea;p__Crenarchaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375043242741548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.717664939666972e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7279364119400404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea;p__Euryarchaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022887659736791914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.808510638297873e-05,4.663048141309011e-05,0.0,6.77214279063074e-05,0.0,0.0,7.692233728521841e-05,9.736908726217601e-05,0.01752219509228855,0.0005865007086883564,4.720543806646526e-05,0.00018013798569704393,0.00870789577344385,0.007120370522984622,3.5588771742515236e-05,0.0,0.0,0.0,0.0,0.0,8.900439681720277e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3495320515330698e-05,4.878009121877058e-05,0.0,6.458644491987244e-05,0.0,5.68397120121258e-05,3.549371761198268e-05,4.3044447696691605e-05,0.0,0.0,0.0,6.250502272504041e-05,0.00046215419312499423,0.008595370894295799,0.0015298445076074236,0.007985624197029112,0.0001351546168817127,0.001536583137453591,0.0002733831762370589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.253940455341506e-05,4.264465065502183e-05,6.528622569448223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.038690656489166e-05,0.001508581932982996,0.002548871368398315,0.0015002586652871186,0.0005426230397742688
d__Bacteria;__,0.0,8.57320444949311e-05,0.0,0.0,0.0,2.1923814743765414e-05,4.432231185178619e-05,2.1946910423685107e-05,0.0,6.131852344995532e-05,0.0,0.00017088690302670862,2.4159841511439684e-05,0.00019798794748369694,2.9921903831001087e-05,0.0,0.0,0.0,0.0,0.0,6.072087826678325e-05,2.039692414383911e-05,3.158393430541664e-05,3.0501133625466413e-05,4.3783795617242055e-05,5.963882726210072e-05,2.5106388320508154e-05,1.5552825170692256e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.3149487817582035e-05,5.545132759720156e-05,0.0,2.1294038733856457e-05,2.046475457643074e-05,5.3564732979806093e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700829154550447e-05,0.0,0.0,0.0,0.0,1.7839303553589267e-05,0.0,0.0,0.0,0.0,5.6986551173922956e-05,0.0,0.0,0.0,1.6101244626209606e-05,1.6549578399490274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9230584321304603e-05,1.94738174524352e-05,0.0,0.0,0.0,1.8013798569704394e-05,0.0,3.2964678347151025e-05,0.0,0.0,4.3213344280713883e-05,0.0,0.0,0.0,7.120351745376221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5855775862752405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.614661122996811e-05,1.7954933117874135e-05,0.0,1.774685880599134e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3467299550548126e-05,0.0,0.0,0.0,0.0,2.626970227670753e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.706353607658115e-05,2.488717812582957e-05,0.0,0.0,0.0,0.0,1.6302708695049684e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.182476893025895e-05,0.0,0.0,2.019345328244583e-05,0.0,0.0,0.0,0.0
d__Bacteria;p__Abditibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7839303553589267e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Acidobacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5644188575049085e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004321326647280715,0.0,0.0,0.0,0.0,7.135721421435707e-05,0.0,0.0,0.0,0.0,2.4422807645966982e-05,0.0,2.988345452734336e-05,0.0,0.0,0.00017377057319464787,0.0,0.0,0.0,0.0,0.0,0.0,5.9574468085106384e-05,0.0,0.00010533522936746195,0.0,0.00028338342636324604,9.970631956781843e-05,0.0,0.0,1.871029908413086e-05,4.8875059057363026e-05,5.50730110775428e-05,0.0,0.0,1.6482339173575513e-05,0.0,5.026893882270145e-05,0.00026792273454042607,3.9108635968994676e-05,3.8214613268113725e-05,0.0,3.560175872688111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.843983368990433e-05,0.0,0.0,9.760772343295237e-05,0.0,0.0,0.0,2.469826947458548e-05,0.0,0.0,0.0,0.0,1.679416234916743e-05,0.0,0.0,0.0,0.0,0.0,2.7029218585290698e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.11735807860262e-05,0.0001958586770834467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4454063042574524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003682903121287396,0.0,0.0
d__Bacteria;p__Actinobacteriota,0.25739107883817425,0.1137235570225261,0.025504390374689993,0.24419315006174044,0.3259511576850825,0.38335982460948204,0.39488963744348904,0.4936299092495254,0.02826320413941228,0.015758860526638517,0.5612214988053259,0.16951980780249495,0.02989780387040661,0.018276762402088774,0.019259732099221032,0.01304220239324414,0.054386333057657416,0.04672471022407924,0.09213186911398344,0.07268812687076616,0.11560040804430195,0.08900197850164195,0.027678054429646787,0.03461878666490438,0.11647584229076818,0.06926453398220378,0.29418410514555426,0.01860117890414794,0.06057716755657259,0.101942406340188,0.497996782232878,0.3381785964638991,0.25835724047921,0.10248732341464432,0.297922333468372,0.016043917451456984,0.014987169081175034,0.3646923543753926,0.3807569912717822,0.19148320745621084,0.06429825320979587,0.07216842547067993,0.049967538308706774,0.028211734777078373,0.12598890606529053,0.20337592310397373,0.12127538257798705,0.06936091664610962,0.14709946872216934,0.19586780439208212,0.058672354280029544,0.1272748809151134,0.15662563067608476,0.09031888940982018,0.09693411913932588,0.05377125417817178,0.011115278038210722,0.02231066291168485,0.09231420925931666,0.11607263429872972,0.13170427674930893,0.06112993224392188,0.06411325799558942,0.03397575064071917,0.13091372912801486,0.010022195829520453,0.011342430338725387,0.014621409921671017,0.0076629188953171055,0.007261714806734182,0.031103436095684767,0.02323936647076402,0.029935151630745758,0.017558407264881577,0.027455750564754362,0.0075960443240878335,0.06567706612545429,0.010952086602317215,0.011885343467028752,0.01866697470255285,0.06904821117703486,0.07293617021276595,0.11833883573014008,0.14197433331577747,0.031668232724687,0.016316015457277802,0.11178891265726405,0.1176430995855809,0.1487702284278787,0.1013443349891948,0.011697430801062218,0.02173810422960725,0.10750634986399582,0.04786409313006529,0.18278914143495245,0.07922060589883892,0.12507749794735165,0.011598461604943607,0.009972702172093641,0.08118694588810761,0.028416425356731674,0.025926980792851165,0.16857589786534785,0.05815238224086225,0.08174591270436478,0.07364237077784859,0.10108000419419104,0.18464165433886248,0.29932494270226295,0.08578953969647561,0.037880371007410506,0.003563765136623501,0.017366720516962843,0.15785289675213976,0.06758658087965881,0.1407814912628568,0.002066474216396132,0.006720033083239795,0.0019362137231867032,0.002494796011444877,0.12761882241664696,0.009023925172043095,0.10085997157516922,0.004595733891160344,0.0027156322528695707,0.0005020040944708955,0.0012288226293633113,0.08620870308130023,0.01754987905508569,0.01258347978910369,0.22424342240704903,0.06785377964215393,0.0032260696089410333,0.04920427524529098,0.002947004725369646,0.10054682621390357,0.12039118126447627,0.1084590661163434,0.052658236396481574,0.05390609703567373,0.025349387403354445,0.18556701030927836,0.08648932305332419,0.12869198312236288,0.08008715422508526,0.07190139845247391,0.015194690036932136,0.021867841125415417,0.05429749611224686,0.1523224606062602,0.20841853363216686,0.10710885579864866,0.11671561627102812,0.054923925764922256,0.05033210456045479,0.1171249909896922,0.1119296992449978,0.07102019469636638,0.030337368488935566,0.027753663220477204,0.02054220612482093,0.027358318337114988,0.11466483123943613,0.04591907901466472,0.04679291624837965,0.11597891457140787,0.1228108581436077,0.13037322598253276,0.07725536707180397,0.07531984453970743,0.23862379618492538,0.22128634124839494,0.07632176794860311,0.07790357395763124,0.07459516856915317,0.07561100009197401,0.09619475775699433,0.19314878236040062,0.11891816534225567,0.32214967516852927,0.21809335590276238,0.053573238722757224,0.04219620717957579,0.1295051826159565,0.17853501095062024,0.18164613642892144,0.07206946454413893,0.1483747814607343,0.04346033694586696,0.03728761771734742,0.06608817288428939,0.1022382657353603,0.08368167040245553,0.07056367015005895,0.13666702667674696,0.09712881531298499,0.10279450865483748
d__Bacteria;p__Armatimonadota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.482436759923541e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7285337712285553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.549371761198268e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7963157563836572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
